id,surah_id,number
959,3,3.115
960,3,3.116
961,3,3.117
962,3,3.118
963,3,3.119
964,3,3.120
965,3,3.121
966,3,3.122
967,3,3.123
968,3,3.124
969,3,3.125
970,3,3.126
971,3,3.127
972,3,3.128
973,3,3.129
974,3,3.130
975,3,3.131
976,3,3.132
977,3,3.133
978,3,3.134
979,3,3.135
980,3,3.136
981,3,3.137
982,3,3.138
983,3,3.139
984,3,3.140
985,3,3.141
986,3,3.142
987,3,3.143
988,3,3.144
989,3,3.145
990,3,3.146
991,3,3.147
992,3,3.148
993,3,3.149
994,3,3.150
995,3,3.151
996,3,3.152
997,3,3.153
998,3,3.154
999,3,3.155
1000,3,3.156
1001,3,3.157
1002,3,3.158
1003,3,3.159
1004,3,3.160
1005,3,3.161
1006,3,3.162
1007,3,3.163
1008,3,3.164
1009,3,3.165
1010,3,3.166
1011,3,3.167
1012,3,3.168
1013,3,3.169
1014,3,3.170
1015,3,3.171
1016,3,3.172
1017,3,3.173
1018,3,3.174
1019,3,3.175
1020,3,3.176
1021,3,3.177
1022,3,3.178
1023,3,3.179
1024,3,3.180
1025,3,3.181
1026,3,3.182
1027,3,3.183
1028,3,3.184
1029,3,3.185
1030,3,3.186
1031,3,3.187
1032,3,3.188
1033,3,3.189
1034,3,3.190
1035,3,3.191
1036,3,3.192
1037,3,3.193
1038,3,3.194
1039,3,3.195
1040,3,3.196
1041,3,3.197
1042,3,3.198
1043,3,3.199
1044,3,3.200
1045,3,3.201
1046,3,3.202
1047,3,3.203
1048,3,3.204
1049,3,3.205
1050,3,3.206
1051,3,3.207
1052,3,3.208
1053,3,3.209
1054,3,3.210
1055,3,3.211
1056,3,3.212
1057,3,3.213
1058,3,3.214
1059,3,3.215
1060,3,3.216
1061,3,3.217
1062,3,3.218
1063,3,3.219
1064,3,3.220
1065,3,3.221
1066,3,3.222
1067,3,3.223
1068,3,3.224
1069,3,3.225
1070,3,3.226
1071,3,3.227
1072,3,3.228
1073,3,3.229
1074,3,3.230
1075,3,3.231
1076,3,3.232
1077,3,3.233
1078,3,3.234
1079,3,3.235
1080,3,3.236
1081,3,3.237
1082,3,3.238
1083,3,3.239
1084,3,3.240
1085,3,3.241
1086,3,3.242
1087,3,3.243
1088,3,3.244
1089,3,3.245
1090,3,3.246
1091,3,3.247
1092,3,3.248
1093,3,3.249
1094,3,3.250
1095,3,3.251
1096,3,3.252
1097,3,3.253
1098,3,3.254
1099,3,3.255
1100,3,3.256
1101,3,3.257
1102,3,3.258
1103,3,3.259
1104,3,3.260
1105,3,3.261
1106,3,3.262
1107,3,3.263
1108,3,3.264
1109,3,3.265
1110,3,3.266
1111,3,3.267
1112,3,3.268
1113,3,3.269
1114,3,3.270
1115,3,3.271
1116,3,3.272
1117,3,3.273
1118,3,3.274
1119,3,3.275
1120,3,3.276
1121,3,3.277
1122,3,3.278
1123,3,3.279
1124,3,3.280
1125,3,3.281
1126,3,3.282
